1,91.98992062688257,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 3.0,DENCLUE_EPSILON - 3.888889],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_MAX_DIST - 8.0,DBSCAN_NUM_PTS - 5.0],}
173,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
174,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
175,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
176,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
177,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
178,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
179,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
180,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
181,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
182,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
183,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
184,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
185,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
186,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
187,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
188,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
189,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
190,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
191,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
192,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
193,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
194,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
195,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
196,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
197,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
198,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
199,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
200,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
201,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
202,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
203,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
204,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
205,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
206,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
207,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
208,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
209,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
210,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
211,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
212,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
213,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
214,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
215,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
216,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
217,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
218,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
219,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
220,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
221,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
222,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
223,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
224,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
225,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
226,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
227,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
228,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
229,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
230,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
231,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
232,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
233,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
234,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
235,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
236,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
237,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
238,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
239,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
240,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
241,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
242,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
243,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
244,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
245,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
246,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
247,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
248,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
249,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
250,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
251,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
252,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
253,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
254,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
255,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
256,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
257,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
258,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
259,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
260,97.53231100994782,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],}
