1,87.16118522467261,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:MANHATTAN,DESCRY_K - 7.3333335,DESCRY_DENSITY - 8.0],MergeByDistance[DISTANCE:MANHATTAN,DESCRY_K - 7.3333335,DESCRY_DENSITY - 8.0],}
170,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
171,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
172,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
173,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
174,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
175,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
176,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
177,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
178,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
179,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
180,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
181,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
182,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
183,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
184,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
185,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
186,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
187,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
188,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
189,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
190,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
191,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
192,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
193,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
194,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
195,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
196,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
197,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
198,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
199,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
200,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
201,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
202,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
203,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
204,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
205,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
206,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
207,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
208,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
209,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
210,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
211,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
212,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
213,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
214,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
215,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
216,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
217,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
218,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
219,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
220,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
221,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
222,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
223,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
224,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
225,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
226,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
227,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
228,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
229,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
230,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
231,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
232,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
233,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
234,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
235,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
236,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
237,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
238,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
239,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
240,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
241,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
242,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
243,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
244,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
245,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
246,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
247,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
248,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
249,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
250,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
251,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
252,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
253,95.63589053921928,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.6666667,DENCLUE_SIGMA - 9.0],}
